company,url,segment,legal_model,business_model,founded,hq,founders_leadership,target_market,geography_availability,partners,celebrity_involvement,funding_or_disclosed_performance,customer_promise,positioning,key_products,displayed_price_examples,traffic_proxy,social_audience,review_signal,advertising_visibility,regulatory_or_risk_notes,within_segment_rank,rank_methodology,evidence_confidence,primary_source_url,access_date,research_file
Drunk Elephant (Shiseido),https://www.drunkelephant.com/,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,"Prestige 'clean-clinical' skincare; Protini Polypeptide Cream (refillable) sold via Sephora, Ulta, Amazon, Costco, Walmart.",Not verified this session,Not verified this session,Founder Tiffany Masterson (widely reported); owned by Shiseido,Prestige skincare consumers; Gen Z/'Sephora kids' halo.,Global.,Not verified this session,None found,Shiseido Q1 2026: group sales -3% to Y232bn; Drunk Elephant sales -14% in the quarter (decline narrowing) -- Verified via trade press.,"Firming, moisturizing peptide cream.",Hero-product peptide moisturizer of a brand in turnaround.,Protini Polypeptide Cream (50 ml; 15 ml mini),US range $22 (mini) to ~$68 (50 ml); reported up to $120.59 for larger sizes,no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Cosmetic.,9,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Medium,https://www.drunkelephant.com/protini-polypeptide-firming-refillable-moisturizer-856556004739.html,2026-09-02,research/02_pharmacy_ruo_consumer.json
Medik8 (L'Oreal),https://us.medik8.com/,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,"UK dermatological skincare; peptide line (Liquid Peptides, Liquid Peptides Advanced MP launched Jan 2026, 'Peptide Pairs' collection); L'Oreal agreed to acquire (~EUR1bn/$1.1bn, June 2025).",Not verified this session,Not verified this session,Not verified this session,Prestige/derm-curious consumers; US entry 2023.,"UK, US, global.",Not verified this session,None found,L'Oreal acquisition ~EUR1bn (2025) -- Verified via WWD/Beauty Independent; peptides cited as US growth engine.,"Science-first, 'CSA philosophy' (vitamin C, sunscreen, vitamin A).",Peptides as retinol-alternative growth engine; acquisition validates category.,Liquid Peptides (30 ml); Liquid Peptides Advanced MP,$66 (Nov 2025 report); Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Cosmetic.,3,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Medium,https://wwd.com/beauty-industry-news/beauty-features/loreal-acquiring-medik8-skin-care-brand-1237807343/,2026-09-02,research/02_pharmacy_ruo_consumer.json
Olay Regenerist (Procter & Gamble),https://www.olay.com/,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,"Mass skincare; Regenerist Collagen Peptide 24 and Hyaluronic + Peptide 24 lines at Target, Walmart, CVS, Amazon.",Not verified this session,Not verified this session,Not verified this session,Mass-market women 35+.,US mass retail; global.,Not verified this session,None found,None disclosed / not found,Peptides + 24-hour hydration.,Mass peptide skincare at drugstore prices.,Regenerist Collagen Peptide 24 Moisturizer (1.7 oz) / Serum,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted) (typically ~$25-$35 at mass retail; unverified),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"Cosmetic. P&G also acquiring Thorne ($3.8B, Aug 2026) -- signals P&G peptide/supplement convergence.",10,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Medium,https://www.olay.com/products/olay-collagen-peptide-visibly-firming-serum,2026-09-02,research/02_pharmacy_ruo_consumer.json
Ancient Nutrition,https://ancientnutrition.com/,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,Multi Collagen Protein/Peptides powders and capsules (10 collagen types + probiotics + vitamin C); DTC + Amazon + natural retail; 120+ 'Ancient Pioneer' investors.,2016 (Verified via third-party),Not verified this session,Dr. Josh Axe and Jordan Rubin (Verified),Wellness/natural-channel consumers.,US.,Not verified this session,None found,"120+ investors ('Ancient Pioneers'); 47,000+ Amazon reviews on hero SKU (Third-party).","Ancient-remedy-inspired collagen for gut, skin, joints.",Founder-led (Axe/Rubin) content-marketing collagen brand.,Multi Collagen Protein / Hydrolyzed Multi Collagen Peptides (45 servings),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Dietary supplement.,8,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Low,https://usefulvitamins.com/ancient-nutrition-collagen-peptides-review/,2026-09-02,research/02_pharmacy_ruo_consumer.json
BodyHealth (PerfectAmino),https://bodyhealth.com/,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,"Essential amino acid tablets/powder marketed as 'perfect protein'; DTC with discount codes, Amazon; Gary Brecka co-branded page.",Not verified this session,Not verified this session,"Dr. David Minkoff (founder; Lifeworks Wellness Center, 1997) -- Verified",Fitness/longevity/biohacking consumers.,US.,Not verified this session,Gary Brecka ('Ultimate Human') partnership page (Verified).,None disclosed / not found,99% utilized amino acids in 23-30 minutes without calories (company claims).,Amino-acid supplement adjacent to peptide/protein trend; influencer-led.,PerfectAmino tablets (150 ct; 3-pack) / powder,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted) (site promotes 25-40% code + free shipping),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Dietary supplement; '99% utilized' and absorption claims require FTC substantiation.,11,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Medium,https://bodyhealth.com/products/perfectamino,2026-09-02,research/02_pharmacy_ruo_consumer.json
Momentous,https://www.livemomentous.com/,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,"NSF Certified for Sport performance supplements incl. Collagen Peptides (10 g grass-fed collagen + 5 g FORTIGEL + vitamin C); DTC subscriptions, Equinox, The Feed.",Not verified this session,"Park City, UT (widely reported; not re-verified)",CEO Jeff Byers (former NFL player) -- Verified,"Athletes, Huberman-audience optimizers.",US DTC + retail partners.,Not verified this session,"Andrew Huberman (scientific advisor, multi-year Huberman Lab partnership 2022); Andy Galpin, Stacy Sims, Kelly Starrett (Verified).",$32M strategic investment from Humble Growth (Feb 2024) -- Verified.,"Clinically dosed, third-party certified.",Expert-endorsed premium collagen for joints; credibility via NSF/Huberman.,Collagen Peptides (tub; 10 travel packs),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Dietary supplement; NSF Certified for Sport.,5,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Medium,https://www.livemomentous.com/products/collagen-peptides,2026-09-02,research/02_pharmacy_ruo_consumer.json
Thorne (Thorne HealthTech; pending P&G acquisition),https://www.thorne.com/,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,Vertically integrated practitioner + consumer supplements and testing; Collagen Plus (collagen peptides + nicotinamide riboside); L Catterton took private 2023 ($680M); P&G agreed to acquire for $3.8B (2026-08-04).,1984 (Verified),"Summerville, SC (Verified)",Not verified this session,Practitioners (tens of thousands) and 7M+ consumers.,US + international.,Not verified this session,None found,"Revenue >$500M (2025), ~$650M pace (2026), >30% CAGR since 2023; $3.8B P&G deal expected to close Q4 2026 -- Verified via press.","Science-backed, NSF-certified, self-manufactured.",Premium clinical-grade supplement platform now inside P&G.,Collagen Plus,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Dietary supplements; NSF Certified for Sport on many SKUs.,1,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Medium,https://www.cnbc.com/2026/08/04/procter-gamble-will-acquire-supplements-brand-thorne.html,2026-09-02,research/02_pharmacy_ruo_consumer.json
Timeline (Amazentis SA) -- Mitopure Urolithin A,https://www.timeline.com/,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,Proprietary Urolithin A (Mitopure) softgels/powder/skin; DTC subscriptions; ingredient licensing.,Not verified this session,"Lausanne, Switzerland (widely reported; not re-verified)",Not verified this session,Longevity/healthy-aging consumers 40+.,"US, EU.",Not verified this session,None found,CHF 56M Series D (Jan 2024) led by L'Oreal BOLD with Nestle Health Science (investor since 2019) -- Verified.,Clinically tested mitochondrial renewal.,Evidence-heavy (25+ human studies claimed) adjacent longevity brand; not a peptide but competes for the same 'cellular health' wallet.,Mitopure softgels / powder,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted) (third-party: priced above generic urolithin A; comparable Pure Encapsulations ~$2.63/day),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Dietary supplement; Mitopure is FDA GRAS-notified and NSF certified (company). Most trials are company-funded (third-party note).,6,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Medium,https://www.nutraingredients.com/Article/2024/01/19/Timeline-raises-CHF-56M-from-L-Oreal-and-Nestle/,2026-09-02,research/02_pharmacy_ruo_consumer.json
ProLon (L-Nutra),https://prolonlife.com/,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,5-day fasting-mimicking diet kits plus fasting bars/shakes; DTC subscriptions and clinic channel.,Not verified this session,Not verified this session,Dr. Valter Longo (USC Longevity Institute; donates his share profits to Create Cures Foundation) -- Verified,Longevity/metabolic-health consumers; clinicians.,"US, international.",Not verified this session,None found,$48M funding; 40+ clinical trials with 18 institutions (Company-reported).,Biological-age reduction (claims -2.5 yrs after 3 monthly cycles).,Nutrition-program adjacent brand competing with peptides/GLP-1 for metabolic-health spend.,ProLon 5-Day (kit),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted) (historically ~$175-$249 per kit; unverified 2026),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Food/dietary program; biological-age claims are company-reported study results.,7,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Medium,https://prolonlife.com/,2026-09-02,research/02_pharmacy_ruo_consumer.json
"Oral 'BPC-157' supplement brands (ProHealth Longevity, Infiniwell, Everest, Amino Club et al.) -- watchlist",https://finance.yahoo.com/news/best-bpc-157-oral-supplements-235100857.html,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,Capsule 'BPC-157' products marketed like supplements via sponsored listicles/PR wire; Amazon-style availability reported as largely gone in 2026.,Not verified this session,Not verified this session,Not verified this session,Biohackers seeking injection-free peptides.,US online (shrinking).,Not verified this session,None found,None disclosed / not found,,Gray-zone 'oral peptide' trend; regulatory status is the risk.,ProHealth BPC-157 capsules (500 mcg),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),BPC-157 is not a lawful dietary ingredient (DoD OPSS; FDA Category-2 history); third-party guides state oral BPC-157 cannot be sold as a supplement in 2026 and only Rx/503A paths remain. Sponsored content prevalent.,12,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Medium,https://finance.yahoo.com/news/best-bpc-157-oral-supplements-235100857.html,2026-09-02,research/02_pharmacy_ruo_consumer.json
Function Health,https://www.functionhealth.com/,Education/testing/practitioner platform,"Education, diagnostics memberships or practitioner training; some route to Rx via partners","Annual membership: 160+ lab tests, imaging add-ons, 'Medical Intelligence' AI; General Catalyst growth financing.",Not verified this session,Not verified this session,CEO/co-founder Jonathan Swerdlin (Verified); co-founders incl. Dr. Mark Hyman (widely reported; not re-verified),Health-motivated consumers of all demographics (company).,US (Quest draw sites).,Not verified this session,None found,$298M Series B at $2.5B valuation (Nov 2025); $450M growth financing from General Catalyst (July 2026); ~$808M total raised -- Verified via TechCrunch/MedCity/MobiHealthNews.,Know your body; 160+ biomarkers annually.,Category leader in consumer longevity testing; peptide-adjacent (biomarker monitoring for peptide/GLP-1 users).,Function Membership,$499/yr (widely reported; not re-verified),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Lab testing via CLIA labs; physician-ordered; not a peptide seller.,1,"Ranked on verified funding/scale, pricing transparency, relevance to peptide users/prescribers and regulatory posture.",Medium,https://techcrunch.com/2025/11/19/function-health-closes-298m-series-b-at-a-2-5b-valuation-launches-medical-intelligence/,2026-09-02,research/02_pharmacy_ruo_consumer.json
Superpower,https://superpower.com/,Education/testing/practitioner platform,"Education, diagnostics memberships or practitioner training; some route to Rx via partners","$199/yr 'health super app': 100+ biomarkers across 17 categories, AI analysis, care marketplace; acquired Feminade and Base (2025).",2023 (Verified),Not verified this session,"Max Marchione, Jacob Peters, Kevin Unkrich (Verified)",Consumers wanting elite preventive care at low cost.,US.,Not verified this session,David Beckham partnership (Forbes Australia) -- Verified.,$30M Series A led by Forerunner; ~$51M total; $432M valuation -- Verified via Endpoints/Forbes AU/Tracxn.,$100k-a-year healthcare for $199.,Price-disruptor vs Function; marketplace may route to peptide/GLP-1 providers (not verified).,Superpower Membership,$199/yr,no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Lab testing; any Rx via licensed clinicians (not verified).,2,"Ranked on verified funding/scale, pricing transparency, relevance to peptide users/prescribers and regulatory posture.",Medium-High,https://endpoints.news/preventive-health-startup-superpower-raises-30m/,2026-09-02,research/02_pharmacy_ruo_consumer.json
"InsideTracker (Segterra, Inc.)",https://www.insidetracker.com/,Education/testing/practitioner platform,"Education, diagnostics memberships or practitioner training; some route to Rx via partners",Blood + DNA + wearable analytics; membership $149/yr; Ultimate plan $340 with membership.,Not verified this session,Not verified this session,Not verified this session,Athletes/longevity consumers.,US (plus limited intl).,Not verified this session,None found,None disclosed / not found,"Personalized, science-backed food/supplement/lifestyle advice.",Legacy incumbent in consumer biomarker testing.,InsideTracker Membership + Ultimate plan,$149/yr membership; Ultimate $340 with membership,no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Lab testing; supplement recommendations subject to FTC.,4,"Ranked on verified funding/scale, pricing transparency, relevance to peptide users/prescribers and regulatory posture.",Medium,https://store.insidetracker.com/products/insidetracker-membership,2026-09-02,research/02_pharmacy_ruo_consumer.json
SiPhox Health,https://siphoxhealth.com/,Education/testing/practitioner platform,"Education, diagnostics memberships or practitioner training; some route to Rx via partners",At-home finger-prick biomarker testing (up to 60 biomarkers) with membership from ~$99-$125; developing 'SiPhox Home' silicon-photonics device.,Not verified this session,Not verified this session,"Michael Dubrovsky, Diedrik Vermeulen (Verified via TechCrunch)","Quantified-self consumers; frequent re-testers (e.g., peptide/GLP-1 users).",US.,Not verified this session,None found,$33M total; $27M ($10M seed + $17M Series A) led by Intel Capital with Khosla Ventures -- Verified.,Lab-quality results at home in minutes (device roadmap).,"Low-cost, high-frequency at-home testing.",SiPhox membership,From $99-$125 (sources vary; one cites $124/yr for 4 tests),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Lab testing; home device regulatory path not verified.,5,"Ranked on verified funding/scale, pricing transparency, relevance to peptide users/prescribers and regulatory posture.",Medium,https://techcrunch.com/2023/07/19/intel-khosla-27m-siphox-health-at-home-blood-test-healthcare,2026-09-02,research/02_pharmacy_ruo_consumer.json
SSRP Institute (Seeds Scientific Research & Performance),https://ssrpinstitute.org/,Education/testing/practitioner platform,"Education, diagnostics memberships or practitioner training; some route to Rx via partners","Clinician certification programs in 'Cellular Medicine'/peptide therapy: Peptide Therapy Certification (2024/2025/2026 cohorts), Peptide Therapy Foundations; Pro Membership $999.50/yr or $99.95/mo.",Not verified this session,Not verified this session,Not verified this session,"Physicians, NPs/PAs, other providers.",US/online + live events.,Not verified this session,None found,None disclosed / not found,Apply cellular-medicine principles via peptide therapeutics.,Leading independent peptide-certification brand for clinicians.,Peptide Therapy Certification 2026; Peptide Therapy Foundations; SSRP Pro Membership,$99 Fellow / $199 Member / $299 Non-member; $999.50/yr or $99.95/mo; Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Education; CME accreditation status not verified; content covers substances whose compounding status is under FDA rulemaking.,3,"Ranked on verified funding/scale, pricing transparency, relevance to peptide users/prescribers and regulatory posture.",Medium,https://ssrpinstitute.org/product/peptide-certification/,2026-09-02,research/02_pharmacy_ruo_consumer.json
International Peptide Society (IPS),https://peptidesociety.org/,Education/testing/practitioner platform,"Education, diagnostics memberships or practitioner training; some route to Rx via partners","Annual membership community: peptide library, webinars, members forum, discounts on IPS courses and A4M/Informa education.",2018 (Verified via PitchBook),"Boca Raton, FL (Verified via PitchBook)",Not verified this session,Clinicians using peptides.,US/online.,A4M / Informa Connect Medical Division (discounts) -- Company-reported.,None found,None disclosed / not found,Nation's premier peptide education/membership community (company).,A4M-adjacent membership hub.,IPS Membership (annual),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Education/membership; no product sales verified.,7,"Ranked on verified funding/scale, pricing transparency, relevance to peptide users/prescribers and regulatory posture.",Medium,https://peptidesociety.org/,2026-09-02,research/02_pharmacy_ruo_consumer.json
Jay Campbell -- Fully Optimized Health (FOH) community,https://jaycampbell.com/foh/,Education/testing/practitioner platform,"Education, diagnostics memberships or practitioner training; some route to Rx via partners","Paid private community ($129 initial payment; monthly/quarterly/annual tiers), Peptide Optimization Course, books, affiliate vendor codes.",Not verified this session,Not verified this session,"Jay Campbell (author, 'Optimize Your Health with Therapeutic Peptides'); Monica Campbell leads women's calls -- Verified",Biohackers/consumers using peptides and TRT.,Global online.,Not verified this session,None found,None disclosed / not found,"Live Tuesday AMA coaching calls (recorded), women-only calls.",Influencer-led consumer peptide education; a key demand driver for RUO vendors.,FOH Private Community,$129 initial (non-refundable); monthly/quarterly/annual equivalents,no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Consumer education with dosing/protocol content for unapproved substances; affiliate ties to RUO vendors are an FTC endorsement-disclosure consideration.,8,"Ranked on verified funding/scale, pricing transparency, relevance to peptide users/prescribers and regulatory posture.",Medium,https://jaycampbell.com/foh/,2026-09-02,research/02_pharmacy_ruo_consumer.json
"Hunter Williams (podcast, guides, 1:1 coaching)",https://hunterwilliamshealth.com/,Education/testing/practitioner platform,"Education, diagnostics memberships or practitioner training; some route to Rx via partners","Podcast ('The Hunter Williams Podcast'), paid peptide guide, personalized peptide protocol service, 1:1 coaching (application/call-based; prices undisclosed).",Not verified this session,Not verified this session,Hunter Williams (Verified),Consumers seeking peptide stacks for fat loss/longevity.,Global online.,Not verified this session,None found,None disclosed / not found,Custom peptide protocol + training + nutrition.,Creator-economy peptide coach.,1-on-1 coaching / Personalized Peptide Protocol / Peptide Guide,Not disclosed (application/call),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Consumer protocol advice for unapproved substances; FTC endorsement rules if affiliated with vendors.,9,"Ranked on verified funding/scale, pricing transparency, relevance to peptide users/prescribers and regulatory posture.",Medium,https://hunterwilliamscoaching.carrd.co/,2026-09-02,research/02_pharmacy_ruo_consumer.json
A4M (American Academy of Anti-Aging Medicine) -- Peptide Therapy Certification,https://www.a4m.com/peptide-therapy-certification-on-demand-2026.html,Education/testing/practitioner platform,"Education, diagnostics memberships or practitioner training; some route to Rx via partners","Two-module Peptide Therapy Certification (live/on-demand 2026), CME via GWU SMHS listings; partner discounts via GenOracle (~US$500/module).",Not verified this session,Not verified this session,Not verified this session,Physicians and allied clinicians.,US/online.,George Washington University SMHS CME listings; IPS; GenOracle -- Verified via listings.,None found,None disclosed / not found,Structured clinician training in peptide therapy.,Incumbent anti-aging CME body's peptide track.,Peptide Therapy Certification Modules I-II (On-Demand 2026),Official price not retrieved; GenOracle partner cites US$500/module,no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),CME education; content covers substances under FDA rulemaking.,6,"Ranked on verified funding/scale, pricing transparency, relevance to peptide users/prescribers and regulatory posture.",Medium,https://www.a4m.com/peptide-therapy-certification-on-demand-2026.html,2026-09-02,research/02_pharmacy_ruo_consumer.json
Ways2Well,https://ways2well.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Listed on Ways2Well's website as a celebrity client; founder Brigham Buhler (ex-pharma rep) has appeared on JRE at least three times (#1873 2022, #2079, #2376 2025). Rogan has said BPC-157 cured his elbow tendonitis 'in two weeks'. No evidence of equity, payment or formal endorsement.",,,Joe Rogan (9 - Unverified or rumored association),Very high - JRE audience is the single largest peptide-curious male audience in the US,,,Joe Rogan: 9 - Unverified or rumored association,Third-party: Psychology Today (Aug 2026) counts BPC-157 mentions in 31+ JRE episodes and credits Rogan with the peptide's mainstream take-off; Ways2Well also credited (AP/CNN Nov 2025) with Jelly Roll (200+ lb) and Russell Crowe (30 lb) transformations. $99 peptide consult then mail-order vials.,,Client / podcast host (informal),,,,"JRE: ~19M YouTube subs, ~19M Instagram; #1 Spotify podcast (approximate follower figure; analyst estimate as of mid-2025 - not re-verified this session because live fetch was blocked)",,,AP/CNN investigation (Nov 2025) framed Ways2Well as emblematic of 'unproven peptides' sold by 'RFK Jr allies'; being a listed client without consent controls is reputational exposure for Rogan; regulatory exposure for the clinic.,,Celebrity-associated company added from 04_Celebrity_Founder_Database; not ranked (no product/pricing audit performed).,Low-Medium,https://www.cnn.com/2025/11/15/health/peptides-unregulated-influencers,2026-09-02,research/03_celebrity_database.json
Onnit (Unilever),https://www.onnit.com,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,"Co-owner / equity partner alongside founder Aubrey Marcus from Alpha Brain's 2010-11 launch; Unilever acquired Onnit April 26, 2021 (terms undisclosed; estimates $100M-$400M). Rogan is not a founder in the operating sense; he was the launch influencer who took equity.",,,Joe Rogan (2 - Verified equity owner or investor),Very high,,,Joe Rogan: 2 - Verified equity owner or investor,Third-party: Alpha Brain sold out three production runs on Rogan promotion alone before the first supplier payment was due; Unilever exit is the clearest 'influencer-equity to 9-figure exit' case in supplements.,,Co-owner / lead promoter (pre-sale),,,,See Ways2Well record,,,"Post-acquisition, Rogan's continued promotion of unapproved peptides (BPC-157) sits awkwardly with a Unilever-owned brand he is associated with.",,Celebrity-associated company added from 04_Celebrity_Founder_Database; not ranked (no product/pricing audit performed).,Low-Medium,https://joshua-schall.medium.com/unilever-adds-onnit-to-growing-supplement-brands-portfolio-a1230dba013a,2026-09-02,research/03_celebrity_database.json
WeightWatchers (WW International),https://www.weightwatchers.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Board member and ~10% shareholder from Oct 2015; disclosed GLP-1 use Dec 2023; announced Feb 28, 2024 she would leave the board (May 2024) and donate her stake (~1.3M shares, 1.4%) to NMAAHC. WW has since pivoted to GLP-1 prescribing (Med+, Amazon Pharmacy).",,,Oprah Winfrey (3 - Executive or board member),Very high historically,,,Oprah Winfrey: 3 - Executive or board member,Verified: WW stock rose ~100%+ on her 2015 entry and fell ~25% in one day on her 2024 exit - the cleanest public-market measurement of celebrity dependence in this category; her stake fell from $43.2M invested to ~$4.1M.,,Former director / shareholder / face of brand,,,,Instagram ~23M; X ~40M (approximate follower figure; analyst estimate as of mid-2025 - not re-verified this session because live fetch was blocked),,,Textbook brand-dependence and key-person risk; her GLP-1 disclosure undercut the legacy behavioral model before the company pivoted (WW filed Chapter 11 in 2025).,,Celebrity-associated company added from 04_Celebrity_Founder_Database; not ranked (no product/pricing audit performed).,Low-Medium,https://www.cbsnews.com/news/oprah-winfrey-weight-watchers-ozempic/,2026-09-02,research/03_celebrity_database.json
